questions,links,notes,tags,semanticsearch,client,id,diagram
ועדות עירייה ודירקטוריון 2024,https://www.ganeytikva.org.il./ועדות-עירייה-ודירקטוריון-2024/,,"ועדות עירייה,דירקטוריון",,,,
(Ganne Tikva) Welcome to GANEY TIKVA,https://www.ganeytikva.org.il./english/,,,,,,
One pager עיריית גני תקווה,https://www.ganeytikva.org.il./one-pager-עיריית-גני-תקווה/,,,,,,
מקום בעיר - מתחמי פעילות להשכרה,https://www.ganeytikva.org.il./מקום-בעיר-מתחמי-פעילות-להשכרה/,,"השכרת מתחימים, מתחמי פעילויות",,,,
מקפיצים אתכם לרכבת הקלה | קו 75,https://www.ganeytikva.org.il./ממשיכים-לנוע-קדימה-שאטל-ganey-tikbus-הופך-לקבוע/,,"הסעות,רכבת קלה,הסעות לרכבת ",,,,
חוברת היערכות לחירום לתושבי גני תקווה,https://www.ganeytikva.org.il./חוברת-היערכות-לחירום-לתושבי-גני-תקווה/,,"חירום,חוברת הערכות,הערכות לחירום",,,,
מזל טוב על התוספת החדשה במשפחה | קופון מתנה,https://www.ganeytikva.org.il./מזל-טוב-על-התוספת-החדשה-במשפחה-קופון-מתנה/,,"נולד לי ילד,ילודה",,,,
קבלת קהל,https://www.ganeytikva.org.il./קבלת-קהל-בעירייה/,,קבלת קהל,,,,
שירותים עירוניים,https://www.ganeytikva.org.il./שירותים-עירוניים/,,שירותים לעירוניים,,,,
מים וביוב - תאגיד מי תקווה,https://www.mei-tikva.co.il/,,"ביוב,תאגיד מים,חשבון מים ",,,,
פינוי אשפה וגרוטאות,https://www.ganeytikva.org.il./166/,,"פינוי,אשפה,גורטאות,פינוי אשפה,לפנות,מפנים,פסולת,זבל,גזם,ביתית,ענפים,פיקוח,פיקוח עירוני,יום הוצאה,יום פינוי,מחזור,מדרכה,קנס",,,,
ארנונה,https://www.ganeytikva.org.il./171/,,"ארנונה,ארנונה לתושב,צו ארנונה",,,,
פיקוח עירוני וחניה,https://www.ganeytikva.org.il./246/,,"חניה,חנייה,פיקוח חנייה,פיקוע עירוני,פיקוח ",,,,
עמדות טעינה לרכב חשמלי,https://www.ganeytikva.org.il/1019/.,,"רכב חשמלי,עמדות טעינה,הטענת רכב ",,,,
שירות וטרינרי,https://www.ganeytikva.org.il/1118/.,,"וטרינר,בעלי חיים,שירות וטרינרי",,,,
"מרכז הספורט ""לידר""",https://www.leadersport.co.il/,,"מכרז ספורט וחוגים,לידר חוגים",,,,
קאנטרי גלים,https://www.countrygalim.co.il/,,"קאנטרי עירוני, בריכה,קאנטרי גלים",,,,
הספרייה הציבורית,https://ganeytikva.library.org.il/,,"סיפרייה,ספרייה עירונית",,,,
היכל התרבות מרכז הבמה,https://www.habama-center.com/,,"תרבות,היכל תרבות,מופעי תרבות",,,,
חנות בגדים קהילתית,https://www.ganeytikva.org.il./חנות-בגדים-קהילתית/,,"חנת בגדים,חנות קהילתית",,,,
פלאים - המרכז לגיל הרך,https://www.plaim.co.il/,,"מרכז גיל הרך,מרכז לילדים קטנים",,,,
רישום לגני הילדים ובתי ספר,https://edu.onecity.co.il/edu-registration-site/intro?customerId=502200,,"רישום לגנים,רישום בתי ספר,תשלום לגנים,תשלום לחינוך",,,,
צהרונים,https://www.mygt.org.il/category/%d7%a2%d7%95%d7%93-%d7%91%d7%90%d7%aa%d7%a8/%d7%9b%d7%9c-%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%95%d7%aa-%d7%90%d7%97%d7%a8%d7%99-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%95%d7%94%d7%92%d7%a0%d7%99%d7%9d/,,"צהרון,צהרונים,פעילות צהרונים",,,,
אישור לטאבו,https://www.ganeytikva.org.il./346/,,"טאבו,מסמך,אישור,אישורים,מסמכים,בקשה,בקשות,עסקה,עסקאות,חוב,חובות,העדר,בעל הנכס,רשם מקרקעין,הגשה,להגיש,זמן טיפול,קבלת קהל",,,,
הבית הירוק מרכז טיפולי רב תחומי למשפחה,https://www.ganeytikva.org.il/%D7%94%D7%91%D7%99%D7%AA-%D7%94%D7%99%D7%A8%D7%95%D7%A7-%D7%92%D7%A0%D7%99-%D7%AA%D7%A7%D7%95%D7%95%D7%94-%D7%9C%D7%90-%D7%9C%D7%92%D7%A2%D7%AA-%D7%91%D7%93%D7%A3-%D7%94%D7%95%D7%90-%D7%91%D7%91%D7%A0%D7%99%D7%94/,,מרכז טיפולי למשפחה ,,,,
מועצה דתית - גני תקווה,https://www.ganeytikva.org.il./מועצה-דתית-גני-תקווה/,,"דתית,מועצה דתית,רבנות,נישואים",,,,
מרחבים להשכרה,https://www.ganeytikva.org.il./498/,,"השכרת מבנים,השכרת חלל",,,,
כניסה למרחב האישי,https://www.ganeytikva.org.il./toshav-center/,,"איזור אישי ,איזור לתושב,מרכז לתושב,מידע לתושב",,,,
העיר שלנו,https://www.ganeytikva.org.il./העיר-שלנו/,,,,,,
אודות גני תקווה,https://www.ganeytikva.org.il./אודות-גני-תקווה/,,,,,,
דבר ראש העיר,https://www.ganeytikva.org.il./דבר-ראש-העיר/,,,,,,
תכנית המתאר הכוללנית של גני תקווה,https://www.ganeytikva.org.il./292/,,,,,,
תחבורה ציבורית,https://www.ganeytikva.org.il/348/.,,,,,,
בטיחות ומוגנות קהילתית,https://www.ganeytikva.org.il./בטיחות-ומוגנות-קהילתית/,,,,,,
תושב חדש,https://www.ganeytikva.org.il./תושב-חדש/,,,,,,
פארקים ושכונות בגני תקווה,https://www.ganeytikva.org.il./פארקים-ושכונות-בגני-תקווה/,,"פארק,גנים,גן,גן ציבורי,גינות ציבוריות,קבוצת ווצאפ,מונגש",,,,
"""עיר בריאה""",https://www.ganeytikva.org.il/1108/.,,,,,,
העצים של גני תקווה,https://www.ganeytikva.org.il/1079/.,,"עצים,עצי פרי,עצי צל",,,,
מועצת העיר,https://www.ganeytikva.org.il./מועצת-העיר/,,,,,,
חברות וחברי מועצת העיר,https://www.ganeytikva.org.il./חברות-וחברי-מועצת-העיר/,,,,,,
ועדות העירייה,https://www.ganeytikva.org.il./ועדות-העירייה/,,,,,,
פרוטוקולים ישיבות מליאה,https://www.ganeytikva.org.il/protocols/?year=0&category=5&order=date-desc,,,,,,
לזכרם ולזכרן,https://www.ganeytikva.org.il/yizcor/,,,,,,
אדריכלות הזיכרון,https://www.ganeytikva.org.il./אדריכלות-הזיכרון/,,,,,,
גלריית הפיסול האורבני של גני תקווה,https://www.ganeytikva.org.il./290-1574678029-גלריית-הפיסול-של-גני-תקווה/,,,,,,
עיר תאומה - בירגיש גלאדבאך,https://www.ganeytikva.org.il./עיר-תאומה-בירגיש-גלאדבאך/,,,,,,
קטעי עיתונות,https://www.ganeytikva.org.il./קטעי-עיתונות/,,,,,,
שקיפות וחופש המידע,https://www.ganeytikva.org.il./שקיפות-וחופש-המידע/,,,,,,
תכנית עבודה ותקציב שנתי,https://www.ganeytikva.org.il./תכנית-עבודה-ותקציב-שנתי/,,,,,,
תכנית עבודה 2023,https://www.ganeytikva.org.il./תכנית-עבודה-2023/,,,,,,
ארכיון תכניות עבודה ותקציב שנים קודמות,https://www.ganeytikva.org.il./ארכיון-תכניות-עבודה-ותקציב-שנים-קודמות/,,,,,,
קוד אתי - גני תקווה,https://www.ganeytikva.org.il./קוד-אתי-גני-תקווה/,,,,,,
חוק חופש המידע,https://www.ganeytikva.org.il./0-1565688461-חוק-חופש-המידע/,,,,,,
מבקרת העירייה וממונה על תלונות הציבור,https://www.ganeytikva.org.il./652/,,,,,,
מוקד פניות 106,https://www.ganeytikva.org.il./226/,,,,,,
ספר טלפונים,https://www.ganeytikva.org.il./phonebook/,,,,,,
תאגידים עירוניים,https://www.ganeytikva.org.il./תאגידים-עירוניים/,,,,,,
פרוטוקולים,https://www.ganeytikva.org.il/protocols/?year=0&category=5&order=date-desc,,,,,,
מכרזים והתקשרויות,https://www.ganeytikva.org.il./bids/,,,,,,
ארכיון תכניות עבודה ותקציב שנים קודמות,https://www.ganeytikva.org.il./ארכיון-תכניות-עבודה-ותקציב-שנים-קודמות-שקיפות/,,,,,,
דוחות כספיים,https://www.ganeytikva.org.il./דוחות-כספיים/,,,,,,
מקבלי השכר הגבוה,https://www.ganeytikva.org.il./מקבלי-שכר-הגבוה/,,,,,,
דוחות איכות מי השתייה,https://www.mei-tikva.co.il/?CategoryID=274&SearchParam=,,,,,,
מדידות קרינה במוסדות ציבור,https://www.ganeytikva.org.il./מדידות-קרינה-במוסדות-ציבור/,,,,,,
רשימת מאגרי מידע,https://www.ganeytikva.org.il./רשימת-מאגרי-מידע/,,,,,,
מבנה ארגוני,https://www.ganeytikva.org.il./מבנה-ארגוני/,,,,,,
קהילות,https://www.ganeytikva.org.il./קהילות/,,,,,,
קהילה מלידה,https://www.coing.co/Gantik_Taf,,,,,,
בני נוער,https://www.coing.co/Ganei_Tikva_YC,,,,,,
נשים,https://www.ganeytikva.org.il/781/.,,,,,,
אזרחים ותיקים,https://www.coing.co/Gantik_Vatikim,,,,,,
מתנדבים,https://www.coing.co/Gantik_Volunteers,,"התנדבות,רוצה להתנדבֿ,מרכז המתנדבים",,,,
"קהילת צמי""ד",https://www.ganeytikva.org.il./קהילת-צמי-ד/,,,,,,
החברה לפיתוח גני תקווה,https://www.mygt.org.il/,,"חברה כלכלית,חברה לפיתוח ",,,,
מי תקווה,https://www.mei-tikva.co.il/,,"תאגיד מים,תשלום חשבון מים",,,,
