 ,links,notes,tags,semanticsearch,client,id,diagram,category,,uniqueCategories
ועדות עירייה ודירקטוריון 2024,https://www.ganeytikva.org.il./ועדות-עירייה-ודירקטוריון-2024/,,"ועדות עירייה,דירקטוריון",,,,,כללי,,חינוך
(Ganne Tikva) Welcome to GANEY TIKVA,https://www.ganeytikva.org.il./english/,,,,,,,כללי,,שפע
One pager עיריית גני תקווה,https://www.ganeytikva.org.il./one-pager-עיריית-גני-תקווה/,,,,,,,כללי ,,רווחה
מקום בעיר - מתחמי פעילות להשכרה,https://www.ganeytikva.org.il./מקום-בעיר-מתחמי-פעילות-להשכרה/,,"השכרת מתחימים, מתחמי פעילויות",,,,,כללי,,מוקד עירוני
מקפיצים אתכם לרכבת הקלה | קו 75,https://www.ganeytikva.org.il./ממשיכים-לנוע-קדימה-שאטל-ganey-tikbus-הופך-לקבוע/,,"הסעות,רכבת קלה,הסעות לרכבת ",,,,,כללי,,רישוי עסקים
חוברת היערכות לחירום לתושבי גני תקווה,https://www.ganeytikva.org.il./חוברת-היערכות-לחירום-לתושבי-גני-תקווה/,,"חירום,חוברת הערכות,הערכות לחירום",,,,,חירום ,,תרבות
מזל טוב על התוספת החדשה במשפחה | קופון מתנה,https://www.ganeytikva.org.il./מזל-טוב-על-התוספת-החדשה-במשפחה-קופון-מתנה/,,"נולד לי ילד,ילודה,ידים,ילדה,נולדה",,,,,כללי,,גבייה
קבלת קהל,https://www.ganeytikva.org.il./קבלת-קהל-בעירייה/,,"קבלת קהל,קבלת,קהל",,,,,כללי,,כללי 
שירותים עירוניים,https://www.ganeytikva.org.il./שירותים-עירוניים/,,שירותים לעירוניים,,,,,כללי,,חירום
מים וביוב - תאגיד מי תקווה,https://www.mei-tikva.co.il/,,"ביוב,תאגיד מים,חשבון מים ",,,,,כללי,,הנדסה
פינוי אשפה וגרוטאות,https://www.ganeytikva.org.il./166/,,"פינוי,אשפה,גורטאות,פינוי אשפה,לפנות,מפנים,פסולת,זבל,גזם,ביתית,ענפים,פיקוח,פיקוח עירוני,יום הוצאה,יום פינוי,מחזור,מדרכה,קנס",,,,,כללי,,
ארנונה,https://www.ganeytikva.org.il./171/,,"ארנונה,ארנונה לתושב,צו ארנונה",,,,,גבייה ,,
פיקוח עירוני וחניה,https://www.ganeytikva.org.il./246/,,"חניה,חנייה,פיקוח חנייה,פיקוח עירוני,פיקוח ",,,,,כללי,,
עמדות טעינה לרכב חשמלי,https://www.ganeytikva.org.il/1019/.,,"רכב חשמלי,עמדות טעינה,הטענת רכב ",,,,,כללי,,
שירות וטרינרי,https://www.ganeytikva.org.il/1118/.,,"וטרינר,בעלי חיים,שירות וטרינרי",,,,,כללי,,
"מרכז הספורט ""לידר""",https://www.leadersport.co.il/,,"מכרז ספורט וחוגים,לידר חוגים",,,,,כללי,,
קאנטרי גלים,https://www.countrygalim.co.il/,,"קאנטרי עירוני, בריכה,קאנטרי גלים",,,,,כללי,,
